Column1,TRAJECT_ID,waterschap,lengte,Type,Status,Kosten_VR_norm_2075,Kosten_VR_opt,Kosten_ref_norm_2075
87,10-1,Waterschap Drents Overijsselse Delta,19191603,Dijk,Geanalyseerd,,,
11,10-2,Waterschap Drents Overijsselse Delta,14231348,Dijk,Geanalyseerd,,,
21,10-3,Waterschap Drents Overijsselse Delta,14623177,Dijk,Geanalyseerd,,,
265,1-1,Wetterskip Fryslan,9159615,Duin,,,,
103,11-1,Vallei & Veluwe,6710344,Dijk,,,,
102,11-1,Waterschap Drents Overijsselse Delta,14438123,Dijk,,,,
193,11-2,Waterschap Drents Overijsselse Delta,24797447,Dijk,,,,
221,11-3,Vallei & Veluwe,12672187,Dijk,,,,
220,11-3,Waterschap Drents Overijsselse Delta,269673,Dijk,,,,
0,1-2,Wetterskip Fryslan,3914986,Dijk,In versterking,,,
8,12-1,HH Hollands Noorderkwartier,11742015,Dijk,,,,
222,12-2,HH Hollands Noorderkwartier,21086943,Dijk,,,,
18,13-1,HH Hollands Noorderkwartier,39341911,Duin,,,,
16,13-2,HH Hollands Noorderkwartier,6253551,Dijk,,,,
217,13-3,HH Hollands Noorderkwartier,19315334,Duin,,,,
137,13-4,HH Hollands Noorderkwartier,10160471,Dijk,,,,
133,13-5,HH Hollands Noorderkwartier,1026321,Dijk,,,,
167,13-6,HH Hollands Noorderkwartier,26541873,Dijk,In uitvoering,,,
174,13-7,HH Hollands Noorderkwartier,29705127,Dijk,,,,
58,13-8,HH Hollands Noorderkwartier,11644546,Dijk,,,,
141,13-9,HH Hollands Noorderkwartier,28894126,Dijk,,,,
15,13a-1,"HH Amstel, Gooi en Vecht",12267969,Dijk,,,,
224,13b-1,HH Hollands Noorderkwartier,8635018,Dijk,,,,
143,14-1,De Stichtse Rijnlanden,21202,Dijk,,,,
145,14-1,HH van Rijnland,3735711,Dijk,,,,
144,14-1,Schieland en de Krimpenerwaard,16570355,Dijk,Gepland,,,
204,14-10,HH van Rijnland,30363254,Duin,,,,
34,14-2,HHS van Delfland,9501107,Dijk,,,,
35,14-2,Schieland en de Krimpenerwaard,10259493,Dijk,,,,
13,14-3,HHS van Delfland,16534729,Dijk,,,,
109,14-4,HHS van Delfland,4421182,Dijk,,,,
114,14-5,HHS van Delfland,17583448,Duin,,,,
134,14-6,HHS van Delfland,5095424,Duin,,,,
90,14-7,HH van Rijnland,10055368,Duin,,,,
89,14-7,HHS van Delfland,1621544,Duin,,,,
211,14-8,HH van Rijnland,218435,Duin,,,,
105,14-9,HH van Rijnland,5587322,Duin,,,,
23,15-1,De Stichtse Rijnlanden,23032109,Dijk,,,,
24,15-1,Schieland en de Krimpenerwaard,887,Dijk,,,,
110,15-2,Schieland en de Krimpenerwaard,24408429,Dijk,,,,
249,15-3,Schieland en de Krimpenerwaard,19247001,Dijk,,,,
6,16-1,Waterschap Rivierenland,15060574,Dijk,Geanalyseerd,,,
77,16-2,Waterschap Rivierenland,30974302,Dijk,,,,
28,16-3,Waterschap Rivierenland,19900919,Dijk,SAFE,,,
4,16-4,Waterschap Rivierenland,19574233,Dijk,SAFE,,,
94,16-5,Waterschap Rivierenland,24772403,Dijk,,,,
91,17-1,Waterschap Hollandse Delta,26760848,Dijk,,,,
129,17-2,Waterschap Hollandse Delta,26554369,Dijk,,,,
49,17-3,Waterschap Hollandse Delta,9397335,Dijk,,,,
241,18-1,Waterschap Hollandse Delta,5232837,Dijk,,,,
153,19-1,Waterschap Hollandse Delta,81226,Dijk,,,,
82,20-1,Waterschap Hollandse Delta,16012901,Duin,,,,
267,202,Waterschap Drents Overijsselse Delta,86834,Dijk,,,,
266,202,Waterschap Zuiderzeeland,96775,Dijk,,,,
184,20-2,Waterschap Hollandse Delta,12958249,Dijk,,,,
113,20-3,Waterschap Hollandse Delta,21912637,Dijk,,,,
43,20-4,Waterschap Hollandse Delta,19780623,Dijk,,,,
117,2-1,Wetterskip Fryslan,20193793,Duin,,,,
26,21-1,Waterschap Hollandse Delta,30203443,Dijk,,,,
76,21-2,Waterschap Hollandse Delta,40324679,Dijk,,,,
128,213,Waterschap Rivierenland,653309,Dijk,,,,
154,2-2,Wetterskip Fryslan,1653129,Dijk,,,,
7,221,Waterschap Scheldestromen,849997,Dijk,,,,
235,22-1,Waterschap Hollandse Delta,17527968,Dijk,,,,
115,22-2,Waterschap Hollandse Delta,20628578,Dijk,,,,
71,228,Waterschap Limburg,75475,Dijk,,,,
242,23-1,Waterschap Rivierenland,2628852,Dijk,,,,
51,24-1,Waterschap Rivierenland,17997852,Dijk,,,,
240,24-2,Waterschap Rivierenland,12959889,Dijk,,,,
63,24-3,Waterschap Rivierenland,15325539,Dijk,Geanalyseerd,,,
138,25-1,Waterschap Hollandse Delta,1672909,Duin,,,,
97,25-2,Waterschap Hollandse Delta,26889173,Dijk,,,,
27,25-3,Waterschap Hollandse Delta,19736657,Dijk,,,,
108,25-4,Waterschap Hollandse Delta,32522361,Dijk,,,,
36,26-1,Waterschap Scheldestromen,17349689,Duin,,,,
152,26-2,Waterschap Scheldestromen,20700073,Dijk,,,,
219,26-3,Waterschap Scheldestromen,21900337,Dijk,,,,
164,26-4,Waterschap Scheldestromen,25200458,Dijk,,,,
81,27-1,Waterschap Scheldestromen,1615042,Dijk,,,,
42,27-2,Waterschap Scheldestromen,36850597,Dijk,,,,
258,27-3,Waterschap Scheldestromen,16000379,Dijk,,,,
229,27-4,Waterschap Scheldestromen,4600135,Dijk,,,,
223,28-1,Waterschap Scheldestromen,23899888,Dijk,,,,
59,29-1,Waterschap Scheldestromen,21845744,Dijk,,,,
95,29-2,Waterschap Scheldestromen,1706945,Duin,,,,
161,29-3,Waterschap Scheldestromen,7102668,Dijk,,,,
253,29-4,Waterschap Scheldestromen,12454984,Dijk,,,,
56,30-1,Waterschap Scheldestromen,22558166,Dijk,,,,
186,30-2,Waterschap Scheldestromen,4506534,Dijk,,,,
78,30-3,Waterschap Scheldestromen,27522795,Dijk,,,,
185,30-4,Waterschap Scheldestromen,2067968,Dijk,,,,
130,3-1,Wetterskip Fryslan,16966444,Dijk,,,,
263,31-1,Waterschap Scheldestromen,1931274,Dijk,Geanalyseerd,,,
181,31-2,Waterschap Scheldestromen,28636923,Dijk,,,,
218,31-3,Waterschap Scheldestromen,4656602,Dijk,,,,
1,3-2,Wetterskip Fryslan,13858621,Dijk,,,,
212,32-1,Waterschap Scheldestromen,20767637,Dijk,,,,
151,32-2,Waterschap Scheldestromen,11593963,Dijk,,,,
53,32-3,Waterschap Scheldestromen,1528583,Dijk,,,,
233,32-4,Waterschap Scheldestromen,37900012,Dijk,,,,
122,33-1,Waterschap Scheldestromen,7373723,Dijk,,,,
214,34-1,Brabantse Delta,24387431,Dijk,,,,
150,34-2,Brabantse Delta,23025236,Dijk,,,,
127,34-3,Brabantse Delta,4628864,Dijk,,,,
256,34-4,Brabantse Delta,10323151,Dijk,,,,
157,34-5,Brabantse Delta,31187517,Dijk,,,,
156,34-5,Waterschap Scheldestromen,5120838,Dijk,,,,
25,34a-1,Brabantse Delta,9993519,Dijk,,,,
248,35-1,Brabantse Delta,13829545,Dijk,In uitvoering,,,
68,35-2,Brabantse Delta,14670207,Dijk,,,,
238,36-1,Aa en Maas,17679572,Dijk,,,,
17,36-2,Aa en Maas,2102194,Dijk,,,,
118,36-3,Aa en Maas,26554594,Dijk,,,,
176,36-4,Aa en Maas,19971555,Dijk,Gepland,,,
60,36-5,Aa en Maas,17002361,Dijk,,,,
61,36-5,Brabantse Delta,328,Dijk,,,,
251,36a-1,Aa en Maas,4383652,Dijk,,,,
247,37-1,Waterschap Rivierenland,5012091,Dijk,,,,
30,38-1,Waterschap Rivierenland,28904764,Dijk,Geanalyseerd,,,
123,38-2,Waterschap Rivierenland,20192445,Dijk,,,,
203,39-1,Waterschap Rivierenland,4712638,Dijk,,,,
209,40-1,Waterschap Rivierenland,5284348,Dijk,,,,
183,40-2,Waterschap Rivierenland,6375743,Dijk,,,,
116,4-1,Wetterskip Fryslan,7812124,Dijk,,,,
192,41-1,Waterschap Rivierenland,12573203,Dijk,Geanalyseerd,,,
136,41-2,Waterschap Rivierenland,27606917,Dijk,In uitvoering,,,
2,41-3,Waterschap Rivierenland,2685886,Dijk,,,,
66,41-4,Waterschap Limburg,6137,Dijk,,,,
65,41-4,Waterschap Rivierenland,19438679,Dijk,,,,
213,4-2,Wetterskip Fryslan,1062809,Dijk,,,,
262,42-1,Waterschap Rivierenland,17420451,Dijk,,,,
44,43-1,Waterschap Rivierenland,1588384,Dijk,,,,
182,43-2,Waterschap Rivierenland,33954436,Dijk,,,,
252,43-3,Waterschap Rivierenland,25364579,Dijk,,,,
20,43-4,Waterschap Rivierenland,25840202,Dijk,,,,
99,43-5,Waterschap Rivierenland,22528392,Dijk,,,,
254,43-6,Waterschap Rivierenland,46865391,Dijk,,,,
86,44-1,De Stichtse Rijnlanden,32414972,Dijk,,,,
75,44-2,"HH Amstel, Gooi en Vecht",25888843,Dijk,,,,
74,44-2,HH Hollands Noorderkwartier,3244,Dijk,,,,
201,44-3,HH Hollands Noorderkwartier,3709616,Dijk,,,,
202,44-3,HH van Rijnland,2819961,Dijk,,,,
180,45-1,Vallei & Veluwe,554562,Dijk,,,,
125,45-2,Vallei & Veluwe,28373439,Dijk,,,,
52,45-3,Vallei & Veluwe,4832668,Dijk,,,,
227,46-1,"HH Amstel, Gooi en Vecht",18737,Dijk,,,,
226,46-1,Vallei & Veluwe,7188796,Dijk,,,,
62,47-1,Waterschap Rijn en IJssel,15423692,Dijk,Geanalyseerd,,,
57,48-1,Waterschap Rijn en IJssel,26969065,Dijk,,,,
67,48-2,Waterschap Rijn en IJssel,12662561,Dijk,,,,
