vaknaam,signaleringswaarde,ondergrens,faalkansbijdrage,lengte_effectfactor,locationid,hrdatabase_folder,hrdatabase,region,gws,getij_amplitude,dwarsprofiel,steentoetsfile,prfl,begin_grasbekleding,qvar_p1,qvar_p2,qvar_p3,qvar_p4,qvar_stap,,kolom,,beschrijving
1,10000,3000,0.05,4,1400364,WBI2017_Oosterschelde_26-3_v02,WBI2017_Oosterschelde_26-3_v02,kust,0,2,310,stt Os 310-323 20220524 steentoets 2017 versie 17.1.2.1 ZST_cat_A.xlsm,profiel_1.prfl,4,0.01,0.0001,3.33E-06,0.000001,1,,vaknaam,,De vaknaam zoals beschreven in de Vakindeling.csv
2,10000,3000,0.05,4,1400370,WBI2017_Oosterschelde_26-3_v02,WBI2017_Oosterschelde_26-3_v02,kust,0,2,315,stt Os 310-323 20220524 steentoets 2017 versie 17.1.2.1 ZST_cat_A.xlsm,profiel_2.prfl,3.8,0.01,0.0001,3.33E-06,0.000001,1,,signaleringswaarde,,
3,10000,3000,0.05,4,1400384,WBI2017_Oosterschelde_26-3_v02,WBI2017_Oosterschelde_26-3_v02,kust,0,2,320,stt Os 310-323 20220524 steentoets 2017 versie 17.1.2.1 ZST_cat_A.xlsm,profiel_3.prfl,3.5,0.01,0.0001,3.33E-06,0.000001,1,,ondergrens,,
,,,,,,,,,,,,,,,,,,,,,faalkansbijdrage,,
,,,,,,,,,,,,,,,,,,,,,lengte_effectfactor,,
,,,,,,,,,,,,,,,,,,,,,locationid,,
,,,,,,,,,,,,,,,,,,,,,hrdatabase_folder,,
,,,,,,,,,,,,,,,,,,,,,hrdatabase,,
,,,,,,,,,,,,,,,,,,,,,region,,
,,,,,,,,,,,,,,,,,,,,,gws,,gemiddelde buitenwaterstand
,,,,,,,,,,,,,,,,,,,,,getij_amplitude,,
,,,,,,,,,,,,,,,,,,,,,dwarsprofiel,,
,,,,,,,,,,,,,,,,,,,,,steentoetsfile,,
,,,,,,,,,,,,,,,,,,,,,prfl,,
,,,,,,,,,,,,,,,,,,,,,begin_grasbekleding,,hoogte waarop de grasbekleding begint (dus onderste punt) [m+NAP]
,,,,,,,,,,,,,,,,,,,,,qvar_p1,,Q-variant: overschrijdingskans voor waterstand. Suggestie: 30/ondergrens
,,,,,,,,,,,,,,,,,,,,,qvar_p2,,Q-variant: overschrijdingskans voor waterstand. Suggestie: 1/signaleringswaarde
,,,,,,,,,,,,,,,,,,,,,qvar_p3,,Q-variant: overschrijdingskans voor waterstand. Suggestie: 1/(30 x signaleringswaarde)
,,,,,,,,,,,,,,,,,,,,,qvar_p4,,Q-variant: overschrijdingskans voor waterstand: 1/(100 x signaleringswaarde)
,,,,,,,,,,,,,,,,,,,,,qvar_stap,,Stapgrootte voor Q-variant berekeningen
