traject_name,a_piping,N_overflow,N_blockrevetment,p_max,p_sig,flood_damage
16-1,0.4,1,4,3.33E-05,1.00E-05,6.00E+10
24-3,0.4,1,4,1.00E-04,1.00E-04,1.30E+10
7-2,0.4,3,4,1.00E-03,3.33E-04,1.70E+10
16-3,0.9,1,4,1.00E-04,3.33E-05,4.60E+10
16-4,0.9,1,4,1.00E-04,3.33E-05,4.80E+10
38-1,0.9,1,4,1.00E-04,3.33E-05,3.50E+10
47-1,0.9,1,4,1.00E-03,3.33E-04,8.90E+09
53-1,0.9,1,4,1.00E-03,3.33E-04,1.15E+10
10-1,,2,4,1.00E-03,3.33E-04,
10-2,,2,4,1.00E-03,3.33E-04,
10-3,0.9,2,4,3.33E-04,1.00E-04,8.6E+09
1-1,,1,4,1.00E-03,1.00E-03,
11-1,,2,4,1.00E-03,3.33E-04,
11-2,,2,4,1.00E-03,3.33E-04,
11-3,,2,4,1.00E-02,3.33E-03,
1-2,,2,4,1.00E-03,1.00E-03,
12-1,,3,4,1.00E-03,1.00E-03,
12-2,,2,4,1.00E-03,3.33E-04,
13-2,,1,4,3.33E-04,3.33E-04,
13-4,,1,4,1.00E-03,3.33E-04,
13-5,,2,4,1.00E-03,3.33E-04,
13-6,,2,4,1.00E-03,3.33E-04,
13-7,,2,4,1.00E-03,3.33E-04,
13-8,,2,4,1.00E-03,3.33E-04,
13-9,,2,4,1.00E-03,3.33E-04,
13a-1,,2,4,1.00E-02,3.33E-03,
13b-1,,2,4,1.00E-02,3.33E-03,
14-1,,,4,1.00E-04,3.33E-05,
14-10,,,4,3.33E-05,3.33E-05,
14-2,,,4,3.33E-05,1.00E-05,
14-3,,,4,1.00E-04,1.00E-04,
14-4,,,4,3.33E-04,1.00E-04,
14-5,,,4,1.00E-04,3.33E-05,
14-6,,,4,1.00E-04,3.33E-05,
14-7,,,4,1.00E-04,3.33E-05,
14-8,,,4,1.00E-04,3.33E-05,
14-9,,,4,3.33E-05,3.33E-05,
15-1,,,4,1.00E-04,3.33E-05,
15-2,,,4,3.33E-04,1.00E-04,
15-3,,,4,3.33E-04,1.00E-04,
16-2,,,4,1.00E-04,3.33E-05,2.60E+10
16-5,,,4,1.00E-01,#DIV/0!,
17-1,,,4,1.00E-03,3.33E-04,
17-2,,,4,1.00E-03,3.33E-04,
17-3,,,4,3.33E-05,1.00E-05,
18-1,,,4,3.33E-04,1.00E-04,
19-1,,,4,3.33E-05,1.00E-05,
201,,,4,3.33E-04,1.00E-04,
20-1,,,4,1.00E-04,3.33E-05,
202,,,4,3.33E-04,1.00E-04,
20-2,,,4,1.00E-04,1.00E-04,
20-3,,,4,1.00E-04,3.33E-05,
20-4,,,4,3.33E-03,1.00E-03,
204a,,,4,3.33E-04,1.00E-04,
204b,,,4,3.33E-03,1.00E-03,
205,,,4,1.00E-03,3.33E-04,
206,,,4,3.33E-04,1.00E-04,
208,,,4,3.33E-05,1.00E-05,
209,,,4,3.33E-05,1.00E-05,
210,,,4,3.33E-05,1.00E-05,
211,,,4,1.00E-03,3.33E-04,
21-1,,,4,1.00E-03,3.33E-04,
212,,,4,3.33E-04,1.00E-04,
21-2,,,4,1.00E-02,3.33E-03,
213,,,4,3.33E-04,1.00E-04,
